MSSV,HoTen,DiemDanh
20220013,Vo Thanh Nam,
20230560,Huynh Thu Oanh,
20231222,Tran Thanh Long,
20232074,Phan Van Cuong,
20232389,Bui Duc Long,
20232927,Dinh Duc Binh,
20234637,Vo Thu Oanh,
20234902,Vu Ngoc Dung,
20237416,Duong Hoang Trang,
20238327,Huynh Thu Binh,
20238878,Do My Vy,
20238950,Duong Hoang Anh,
20239810,Phan Xuan Mai,
202418003,Ngo Bich Mai,
202418045,Tran Hoang Lan,
202418056,Dang Duc Dung,
202418057,Duong Thuy Trang,
202418081,Vu My Giang,
202418082,Dang Thuy Ngoc,
202418131,Huynh Xuan Anh,
202418182,Dinh Thanh Nam,
202418216,Pham The Nam,
202418253,Dinh Thi Trang,
202418262,Ngo Thu Mai,
202418266,Vu Huu Son,
202418268,Tran Tuan Hai,
202418275,Duong My Ngoc,
202418277,Vu Xuan Linh,
202418280,Huynh Hoang Hoa,
202418302,Ly Bich Giang,
202418304,Phan Xuan Hoa,
202418317,Pham The Hai,
202418355,Ho Hoang Mai,
202418359,Tran Thu Anh,
202418365,Le Thi Hoa,
202418383,Pham Hoang Nhung,
202418420,Ly Thanh Yen,
202418449,Hoang Kieu Mai,
202418485,Pham Minh Binh,
202418531,Dang Hoang Ngoc,
202418561,Ngo Tuan Hai,
202418584,Dinh My Mai,
202418610,Hoang Kieu Binh,
202418622,Vu The Tung,
202418642,Phan Xuan Yen,
202418648,Le Xuan Anh,
202418656,Ngo Xuan Phong,
202418684,Bui Huu Long,
202418687,Ly Quang Hoang,
202418690,Vu Bich Trang,
202418702,Tran Hoang Linh,
202418710,Vu Thuy Linh,
202418716,Ngo Duc Phong,
202418719,Vu Thanh Hai,
202418730,Do Thu Vy,
202418762,Pham Thi Binh,
202418769,Dang Hoang Anh,
202418783,Ho Thanh Dung,
202418803,Ly Kieu Giang,
202418850,Le Tuan Vinh,
202418872,Pham Quang Khoa,
202418875,Bui Kieu Hoa,
202418876,Dang Van Phuc,
202418881,Ho Duc Phuc,
202418886,Vu Ngoc Tung,
202418913,Le Xuan Phuc,
202418918,Vu Thi Trang,
202418930,Tran My Hoa,
202418939,Ly Thu Vy,
202418955,Pham Thanh Phong,
202418961,Phan The Long,
202418985,Phan My Nhung,
202418987,Dinh Minh Nam,
202419003,Pham My Ngoc,
202419005,Vo Xuan Giang,
